ds,id_pais,pred_neutro,pred_kpi2,pred_kpi3,pred_kpi4
2014-01-01,CHL,79.45462224717457,79.45462224717457,79.45462224717457,79.45462224717457
2015-01-01,CHL,79.75435700975325,79.75435700975325,79.75435700975325,79.75435700975325
2016-01-01,CHL,80.11428902266967,80.11428902266967,80.11428902266967,80.11428902266967
2017-01-01,CHL,80.23083718875387,80.23083718875387,80.23083718875387,80.23083718875387
2018-01-01,CHL,80.25602754774474,80.25602754774474,80.25602754774474,80.25602754774474
2019-01-01,CHL,80.298140028958,80.298140028958,80.298140028958,80.298140028958
2019-12-31,CHL,80.55039732558528,80.96060625246552,81.12466382175757,81.38024451875364
2020-12-31,CHL,80.66319530199954,81.04801606101681,81.21207363030884,81.44642409562232
2021-12-31,CHL,80.81661464162254,81.17712605876585,81.34118362805789,81.56498199299745
2022-12-31,CHL,80.9904797153281,81.3282648563477,81.49232242563974,81.70656487329074
2023-12-31,CHL,81.17788670371739,81.49200016115208,81.6560577304441,81.85176545244276
2024-12-31,CHL,81.34711349370431,81.63689324687869,81.80095081617073,81.98091706563727
2025-12-31,CHL,81.45864104431918,81.72248775858694,81.88654532787898,82.07376365808462
2000-01-01,COL,71.32010000000001,71.32010000000001,71.32010000000001,71.32010000000001
2001-01-01,COL,71.50199999999997,71.50199999999997,71.50199999999997,71.50199999999997
2002-01-01,COL,71.93890000000002,71.93890000000002,71.93890000000002,71.93890000000002
2003-01-01,COL,72.36059999999996,72.36059999999996,72.36059999999996,72.36059999999996
2004-01-01,COL,72.69509999999998,72.69509999999998,72.69509999999998,72.69509999999998
2005-01-01,COL,73.08140000000006,73.08140000000006,73.08140000000006,73.08140000000006
2006-01-01,COL,73.46799999999999,73.46799999999999,73.46799999999999,73.46799999999999
2007-01-01,COL,73.83720000000004,73.83720000000004,73.83720000000004,73.83720000000004
2008-01-01,COL,74.29500000000002,74.29500000000002,74.29500000000002,74.29500000000002
2009-01-01,COL,74.74180000000004,74.74180000000004,74.74180000000004,74.74180000000004
2010-01-01,COL,75.03269999999999,75.03269999999999,75.03269999999999,75.03269999999999
2011-01-01,COL,75.3198,75.3198,75.3198,75.3198
2012-01-01,COL,75.59730000000003,75.59730000000003,75.59730000000003,75.59730000000003
2013-01-01,COL,75.82670000000002,75.82670000000002,75.82670000000002,75.82670000000002
2014-01-01,COL,76.04270000000002,76.04270000000002,76.04270000000002,76.04270000000002
2015-01-01,COL,76.25730000000003,76.25730000000003,76.25730000000003,76.25730000000003
2016-01-01,COL,76.47130000000001,76.47130000000001,76.47130000000001,76.47130000000001
2017-01-01,COL,76.64560000000002,76.64560000000002,76.64560000000002,76.64560000000002
2018-01-01,COL,76.74790000000003,76.74790000000003,76.74790000000003,76.74790000000003
2019-01-01,COL,76.75230000000003,76.75230000000003,76.75230000000003,76.75230000000003
2019-12-31,COL,76.54594304590383,77.02916242335607,77.31106786764198,75.76289305080506
2020-12-31,COL,76.69155264898566,77.14247494185655,77.42438038614246,75.8570690726644
2021-12-31,COL,76.81964513635961,77.25293692935767,77.53484237364357,75.93997289127766
2022-12-31,COL,76.93701337383035,77.36018215507146,77.64208759935737,76.01891934912838
2023-12-31,COL,77.06317410834913,77.47123220636398,77.75313765064988,76.10667939017594
2024-12-31,COL,77.17760422017733,77.56358442698085,77.84548987126676,76.20016696051964
2025-12-31,COL,77.27342080710957,77.62873139740861,77.91063684169451,76.29772997030705
2000-01-01,CRI,77.5857,77.5857,77.5857,77.5857
2001-01-01,CRI,77.54529999999998,77.54529999999998,77.54529999999998,77.54529999999998
2002-01-01,CRI,77.9833,77.9833,77.9833,77.9833
2003-01-01,CRI,78.072,78.072,78.072,78.072
2004-01-01,CRI,78.3305,78.3305,78.3305,78.3305
2005-01-01,CRI,78.50529999999999,78.50529999999999,78.50529999999999,78.50529999999999
2006-01-01,CRI,78.5145,78.5145,78.5145,78.5145
2007-01-01,CRI,78.46209999999999,78.46209999999999,78.46209999999999,78.46209999999999
2008-01-01,CRI,78.44509999999998,78.44509999999998,78.44509999999998,78.44509999999998
2009-01-01,CRI,78.6721,78.6721,78.6721,78.6721
2010-01-01,CRI,78.6704,78.6704,78.6704,78.6704
2011-01-01,CRI,79.34769999999999,79.34769999999999,79.34769999999999,79.34769999999999
2012-01-01,CRI,79.28269999999999,79.28269999999999,79.28269999999999,79.28269999999999
2013-01-01,CRI,79.40339999999999,79.40339999999999,79.40339999999999,79.40339999999999
2014-01-01,CRI,78.77410000000002,78.77410000000002,78.77410000000002,78.77410000000002
2015-01-01,CRI,79.0857,79.0857,79.0857,79.0857
2016-01-01,CRI,79.45920000000001,79.45920000000001,79.45920000000001,79.45920000000001
2017-01-01,CRI,79.3769,79.3769,79.3769,79.3769
2018-01-01,CRI,79.48350000000002,79.48350000000002,79.48350000000002,79.48350000000002
2019-01-01,CRI,79.4272,79.4272,79.4272,79.4272
2019-12-31,CRI,80.208213334229,80.18769160905468,80.188135728544,-11.840324814123306
2020-12-31,CRI,80.06027184777294,80.04018161956581,80.04062573905513,-11.667701277752158
2021-12-31,CRI,80.0933634719508,80.07349302762071,80.07393714711003,-11.28862272465652
2022-12-31,CRI,80.19064225194047,80.17141328928545,80.17185740877477,-10.869064550039809
2023-12-31,CRI,80.3318836678382,80.31308107984502,80.31352519933434,-10.455599100091561
2024-12-31,CRI,80.47134996489467,80.4527719033222,80.45321602281152,-10.011119606072171
2025-12-31,CRI,80.53270070194701,80.5147622600411,80.51520637953041,-9.87770064513225
2000-01-01,CUB,76.18310000000001,76.18310000000001,76.18310000000001,76.18310000000001
2001-01-01,CUB,76.42080000000004,76.42080000000004,76.42080000000004,76.42080000000004
2002-01-01,CUB,76.61239999999992,76.61239999999992,76.61239999999992,76.61239999999992
2003-01-01,CUB,76.77290000000009,76.77290000000009,76.77290000000009,76.77290000000009
2004-01-01,CUB,76.9116,76.9116,76.9116,76.9116
2005-01-01,CUB,77.04690000000002,77.04690000000002,77.04690000000002,77.04690000000002
2006-01-01,CUB,77.17879999999998,77.17879999999998,77.17879999999998,77.17879999999998
2007-01-01,CUB,77.30719999999994,77.30719999999994,77.30719999999994,77.30719999999994
2008-01-01,CUB,77.4294,77.4294,77.4294,77.4294
2009-01-01,CUB,77.54830000000003,77.54830000000003,77.54830000000003,77.54830000000003
2010-01-01,CUB,77.66100000000003,77.66100000000003,77.66100000000003,77.66100000000003
2011-01-01,CUB,77.7597,77.7597,77.7597,77.7597
2012-01-01,CUB,77.83280000000005,77.83280000000005,77.83280000000005,77.83280000000005
2013-01-01,CUB,77.86979999999993,77.86979999999993,77.86979999999993,77.86979999999993
2014-01-01,CUB,77.85330000000005,77.85330000000005,77.85330000000005,77.85330000000005
2015-01-01,CUB,77.77199999999998,77.77199999999998,77.77199999999998,77.77199999999998
2016-01-01,CUB,77.64300000000006,77.64300000000006,77.64300000000006,77.64300000000006
2017-01-01,CUB,77.52859999999991,77.52859999999991,77.52859999999991,77.52859999999991
2018-01-01,CUB,77.4962000000001,77.4962000000001,77.4962000000001,77.4962000000001
2019-01-01,CUB,77.61120000000007,77.61120000000007,77.61120000000007,77.61120000000007
2019-12-31,CUB,78.55113086085655,78.481251505357,78.48460305045644,66.99836359028373
2020-12-31,CUB,78.61095111437312,78.54498805757254,78.54833960267199,67.06791104216482
2021-12-31,CUB,78.66371001483908,78.60156961200994,78.60492115710939,67.12852868361333
2022-12-31,CUB,78.70567877825759,78.64936192336799,78.65271346846743,67.17802690818827
2023-12-31,CUB,78.75375124375637,78.6999959980626,78.70334754316205,67.23160426564021
2024-12-31,CUB,78.79535106787108,78.7453026739347,78.74865421903415,67.27754649350733
2025-12-31,CUB,78.85249197112482,78.80927181835611,78.81262336345554,67.3299634238692
2000-01-01,DMA,72.65925309615211,72.65925309615211,72.65925309615211,72.65925309615211
2001-01-01,DMA,72.85776308252622,72.85776308252622,72.85776308252622,72.85776308252622
2002-01-01,DMA,71.42815678079721,71.42815678079721,71.42815678079721,71.42815678079721
2003-01-01,DMA,72.19852722759991,72.19852722759991,72.19852722759991,72.19852722759991
2004-01-01,DMA,71.69965803576476,71.69965803576476,71.69965803576476,71.69965803576476
2005-01-01,DMA,71.67424923371716,71.67424923371716,71.67424923371716,71.67424923371716
2006-01-01,DMA,72.22628202032664,72.22628202032664,72.22628202032664,72.22628202032664
2007-01-01,DMA,72.42688794037679,72.42688794037679,72.42688794037679,72.42688794037679
2008-01-01,DMA,73.46416268806566,73.46416268806566,73.46416268806566,73.46416268806566
2009-01-01,DMA,72.2305814332017,72.2305814332017,72.2305814332017,72.2305814332017
2010-01-01,DMA,71.24387982412932,71.24387982412932,71.24387982412932,71.24387982412932
2011-01-01,DMA,70.83289883961898,70.83289883961898,70.83289883961898,70.83289883961898
2012-01-01,DMA,69.12613420631142,69.12613420631142,69.12613420631142,69.12613420631142
2013-01-01,DMA,69.77136583872594,69.77136583872594,69.77136583872594,69.77136583872594
2014-01-01,DMA,69.36466035318423,69.36466035318423,69.36466035318423,69.36466035318423
2015-01-01,DMA,68.3389260481926,68.3389260481926,68.3389260481926,68.3389260481926
2016-01-01,DMA,69.9938913781478,69.9938913781478,69.9938913781478,69.9938913781478
2017-01-01,DMA,69.20171361609661,69.20171361609661,69.20171361609661,69.20171361609661
