PAIS,NOMBRE PAIS,ANIO,ALFABETIZACION,ANIOS ESCOLARIDAD,ED.INDEX,ESPERANZA
GRD,Grenada,2003,98.5999984741211,7.4,7.296399887084962,73.1875
GRD,Grenada,2004,98.5999984741211,7.6,7.493599884033203,71.7876
GRD,Grenada,2005,98.5999984741211,7.7,7.592199882507325,73.5214
GRD,Grenada,2006,98.5999984741211,7.8,7.690799880981445,73.7004
GRD,Grenada,2007,98.5999984741211,7.9,7.789399879455567,74.3165
GRD,Grenada,2008,98.5999984741211,8.0,7.887999877929688,74.6558
GRD,Grenada,2009,98.5999984741211,8.1,7.986599876403808,75.0363
GRD,Grenada,2010,98.5999984741211,8.2,8.08519987487793,74.9988
GRD,Grenada,2011,98.5999984741211,8.3,8.183799873352053,75.2947
GRD,Grenada,2012,98.5999984741211,8.4,8.282399871826172,75.0416
GRD,Grenada,2013,98.5999984741211,8.4,8.282399871826172,75.1161
GRD,Grenada,2014,98.5999984741211,8.5,8.380999870300293,74.985
GRD,Grenada,2015,98.5999984741211,8.6,8.479599868774415,75.0125
GRD,Grenada,2016,98.5999984741211,8.7,8.578199867248534,74.7622
GRD,Grenada,2017,98.5999984741211,8.7,8.578199867248534,74.7652
GRD,Grenada,2018,98.5999984741211,8.7,8.578199867248534,74.8076
GRD,Grenada,2019,98.5999984741211,8.8,8.676799865722657,74.8632
GRD,Grenada,2020,98.5999984741211,9.0,8.8739998626709,74.9238
GTM,Guatemala,2000,69.1017303466797,3.6,2.4876622924804694,67.4459
GTM,Guatemala,2001,69.1017303466797,3.7,2.556764022827149,67.9464
GTM,Guatemala,2002,69.1017303466797,3.8,2.6258657531738288,68.3865
GTM,Guatemala,2003,70.01804351806642,3.8,2.660685653686524,68.7969
GTM,Guatemala,2004,70.93435668945314,3.7,2.6245711975097663,69.1648
GTM,Guatemala,2005,71.85066986083986,3.6,2.5866241149902347,69.1675
GTM,Guatemala,2006,72.76698303222658,3.5,2.54684440612793,69.8124
GTM,Guatemala,2007,73.68329620361331,3.7,2.7262819595336927,70.1002
GTM,Guatemala,2008,74.59960937500003,3.8,2.834785156250001,70.3556
GTM,Guatemala,2009,75.51592254638675,4.0,3.02063690185547,70.6414
GTM,Guatemala,2010,76.43223571777347,4.2,3.210153900146486,70.8783
GTM,Guatemala,2011,77.34854888916018,4.3,3.3259876022338877,71.1769
GTM,Guatemala,2012,78.2648620605469,4.5,3.5219187927246107,71.463
GTM,Guatemala,2013,77.0386734008789,4.6,3.5437789764404295,71.728
GTM,Guatemala,2014,81.2858963012695,4.7,3.820437126159667,71.9638
GTM,Guatemala,2015,81.16709136962888,6.4,5.194693847656248,72.103
GTM,Guatemala,2016,81.04828643798825,6.4,5.187090332031248,72.3547
