PAIS,NOMBRE PAIS,ANIO,FUERZA LABORAL,DESEMPLEO,EMPLEADOS,INGRESO MEDIO PC,TRAB.INDEX,POBLACION,ESPERANZA
CRI,Costa Rica,2006,1965286.0,5.73999977111816,1852479.0,5060.0,2157.108307802627,4345421.0,78.5145
CRI,Costa Rica,2007,2037762.0,4.48999977111816,1946266.0,5680.0,2509.813745820871,4404626.0,78.4621
CRI,Costa Rica,2008,2067066.0,4.78000020980835,1968260.0,6410.0,2826.8426839233425,4463123.0,78.4451
CRI,Costa Rica,2009,2088453.0,7.71000003814697,1927433.0,6540.0,2788.3520415578073,4520739.0,78.6721
CRI,Costa Rica,2010,2051461.0,7.17000007629395,1904371.0,7260.0,3020.452888787035,4577371.0,78.6704
CRI,Costa Rica,2011,2077942.0,10.1400003433228,1867239.0,8090.0,3260.453941498172,4633086.0,79.3477
CRI,Costa Rica,2012,2245872.0,9.77999973297119,2026226.0,9280.0,4010.9567506676085,4688003.0,79.2827
CRI,Costa Rica,2013,2261015.0,8.77000045776367,2062724.0,9930.0,4319.3525668209795,4742111.0,79.4034
CRI,Costa Rica,2014,2308993.0,9.0600004196167,2099798.0,10350.0,4532.042086253673,4795390.0,78.7741
CRI,Costa Rica,2015,2295745.0,9.0,2089128.0,10700.0,4611.090916404434,4847805.0,79.0857
CRI,Costa Rica,2016,2212664.0,8.60000038146973,2022375.0,11100.0,4581.919366216157,4899336.0,79.4592
CRI,Costa Rica,2017,2259645.0,8.14000034332275,2075710.0,11500.0,4822.400405660253,4949955.0,79.3769
CRI,Costa Rica,2018,2369041.0,9.63000011444092,2140902.0,11970.0,5125.890412191919,4999443.0,79.4835
CRI,Costa Rica,2019,2482184.0,11.4899997711182,2196981.0,12120.0,5275.302214277351,5047561.0,79.4272
CRI,Costa Rica,2020,2368243.0,17.4099998474121,1955932.0,11580.0,4446.247681147301,5094114.0,79.277
CUB,Cuba,2000,4585373.0,5.44999980926514,4335470.0,2620.0,1020.8969585283609,11126423.0,76.1831
CUB,Cuba,2001,4626660.0,4.07999992370605,4437892.0,2760.0,1097.0835087377368,11164676.0,76.4208
CUB,Cuba,2002,4673864.0,3.30999994277954,4519159.0,2820.0,1137.8938136001223,11199664.0,76.6124
CUB,Cuba,2003,4734276.0,2.32999992370605,4623967.0,3100.0,1276.5216442689295,11229185.0,76.7729
CUB,Cuba,2004,4795837.0,1.85000002384186,4707114.0,3490.0,1460.2034706594957,11250369.0,76.9116
CUB,Cuba,2005,4864091.0,1.95000004768372,4769241.0,3960.0,1677.0456985366004,11261586.0,77.0469
CUB,Cuba,2006,4929715.0,1.9099999666214,4835557.0,4410.0,1893.646212704266,11261241.0,77.1788
CUB,Cuba,2007,4969380.0,1.78999996185303,4880428.0,4750.0,2060.420578685654,11251117.0,77.3072
CUB,Cuba,2008,4992279.0,1.58000004291534,4913401.0,5050.0,2208.1276366637817,11236975.0,77.4294
CUB,Cuba,2009,5118805.0,1.66999995708466,5033321.0,5110.0,2290.988902270665,11226711.0,77.5483
CUB,Cuba,2010,5078837.0,2.5,4951866.0,5200.0,2293.789975318535,11225833.0,77.661
